timeframe,sym1,sym2,n_obs,corr,alpha,beta,adf_stat,adf_p,phi,half_life_bars,adf_cv_5pct
D1,Cotton_H6,XNGUSD,36,-0.06071903973963078,4.222445023191573,-0.015653167344833935,-2.517865235822191,0.11118780831654779,0.7185129775810282,2.0968146264312506,-2.9485102040816327
D1,Cotton_H6,XPTUSD,36,-0.01762658640839976,4.2649254559335485,-0.008226304217697393,-2.5198488592311734,0.11071927126112496,0.7163245240810084,2.077642497848736,-2.9485102040816327
D1,Cotton_H6,XTIUSD,36,0.3974379093759409,3.5911644393925655,0.14743572841705863,-2.700159244781553,0.07401071679122061,0.6623292751636948,1.6824268912270282,-2.9485102040816327
D1,DE40,DXY_Z5,36,0.42330291135287385,6.371154801584726,0.8105551198445848,-3.1172444461886046,0.025303064648425123,0.6661473111027336,1.7062317749614815,-2.9485102040816327
D1,DE40,ES35,36,-0.23576911241891654,11.231196665771465,-0.11917605256626768,-2.1557605387707084,0.22269161400605542,0.7673702887459193,2.6177654980770786,-2.9485102040816327
D1,DE40,EURAUD,36,0.5637870915205927,9.447746696015958,1.101647193389119,-3.085984506108295,0.02760793479004056,0.6124694812174266,1.4138469455546905,-2.9485102040816327
D1,DE40,EURCAD,36,-0.5045989899870647,10.505145637998389,-0.8804989535286564,-2.53747719099851,0.10661990986271208,0.7076286610712242,2.004266633810925,-2.9485102040816327
D1,DE40,EURCHF,36,0.33715845412011525,10.158114760534763,1.0923886672623362,-2.6390115224267627,0.0851994057508042,0.7205191463256069,2.114650750110416,-2.9485102040816327
D1,DE40,EURGBP,36,-0.305586579409602,9.921637960018277,-1.1427999112811522,-2.3120372743149753,0.16811509638360134,0.7742551191452886,2.709152842082391,-2.9485102040816327
D1,DE40,EURJPY,36,-0.5345725897990228,17.3481810903121,-1.4102296443170272,-3.1647364924539896,0.022118778362866097,0.603585912543228,1.3729305532571687,-2.9485102040816327
D1,DE40,EURNZD,36,-0.33623578330428466,10.403477863355462,-0.46800197213892286,-2.1784401882382833,0.21416326300216554,0.7739067867510763,2.7043963598391945,-2.9485102040816327
D1,DE40,EURSGD,36,-0.5290410163828405,10.696046704379995,-1.5078542575417806,-3.402050035709154,0.01088918424154984,0.5808330803843701,1.2758283915955084,-2.9485102040816327
D1,DE40,EURUSD,36,-0.421910508247832,10.202304844596654,-0.750019787967843,-3.03038298164064,0.03215279211043742,0.6706505808697186,1.735006253328998,-2.9485102040816327
D1,DE40,F40,36,0.48215407865277315,5.690212782299017,0.4904640692869303,-1.1854062423434146,0.6798418622886088,0.8993212026297938,6.532036498374766,-2.9485102040816327
D1,DE40,GBPAUD,36,0.6386723194579609,9.287133317664628,1.1050411437008283,-3.0278214305426365,0.03237665481451182,0.6674678569393636,1.7145902298086197,-2.9485102040816327
D1,DE40,GBPCAD,36,-0.34125065550941325,10.4318829621134,-0.5582863518962994,-2.314558346746022,0.16731559598732837,0.746410836567398,2.36990319729483,-2.9485102040816327
D1,DE40,GBPCHF,36,0.4018902459870371,10.016909751948376,0.8921919062898918,-2.6117665600312474,0.09058966304999921,0.7425962276004513,2.329101542071013,-2.9485102040816327
D1,DE40,GBPJPY,36,-0.326652329130485,14.696843868092232,-0.8710934134207727,-2.6905027591051813,0.07569617444627505,0.6883051169919381,1.8557011959918548,-2.9485102040816327
D1,DE40,GBPNZD,36,-0.21218020398245682,10.315655696803258,-0.27947406898666344,-2.1424521704662043,0.22779037277085806,0.7802341302119036,2.7931323514446267,-2.9485102040816327
D1,DE40,GBPUSD,36,-0.297769791608647,10.255054376163782,-0.5661524360245767,-2.6537952730205885,0.08238059555208632,0.7186716669539895,2.098216310406071,-2.9485102040816327
D1,DE40,GCZ25,36,-0.8721518778473979,12.552008692108446,-0.3021558878874721,-5.228064702233979,7.703304455551753e-06,0.22195328816801016,0.46047469139756225,-2.9485102040816327
D1,DE40,HK50,36,-0.5831235008290097,13.559680720538246,-0.3423678248895529,-3.225631301720851,0.018548158102248802,0.5989186155512819,1.3521404895639622,-2.9485102040816327
D1,DE40,IT40,36,-0.010610184190625399,10.168995690261967,-0.007803596372074914,-2.11912848631398,0.23689282674581802,0.791098224942909,2.957956259916181,-2.9485102040816327
D1,DE40,JP225,36,-0.4831380272469904,12.131316568470424,-0.19181407714626658,-2.748629416642663,0.0659946001910117,0.6635282535237915,1.689845154645512,-2.9485102040816327
D1,DE40,MidDE50,36,0.8156257869523084,4.001264064814907,0.5889761246182306,-2.401078005790903,0.14143238066295416,0.6942865106305323,1.8997070431934167,-2.9485102040816327
D1,DE40,NOKJPY,36,-0.806921825694965,12.081059969571799,-0.7439270581690256,-4.166730240024306,0.0007497533289529534,0.3684709936380947,0.6942626626987771,-2.9485102040816327
D1,DE40,NOKSEK,36,-0.28706004830975357,10.038273394249257,-0.7635356305552217,-2.447227989928342,0.12884773907191754,0.740513531710724,2.307326705557452,-2.9485102040816327
D1,DE40,NOR25,36,-0.44041063295892846,13.948737101774446,-0.5255821062893828,-2.3309202774206725,0.16218936857660715,0.7293364727368483,2.1961439761411823,-2.9485102040816327
D1,DE40,NZDCAD,36,-0.08345038707514815,10.055214338276274,-0.15147566078019173,-2.1500474876823015,0.22487191427341874,0.7879548911988282,2.9085404721567367,-2.9485102040816327
D1,DE40,NZDCHF,36,0.46492299878048937,10.553947980068724,0.6280910590051213,-2.4335370985696336,0.1324936342138861,0.7287305387304771,2.1903758883643816,-2.9485102040816327
D1,DE40,NZDJPY,36,0.05922167376755463,9.707210723543163,0.08470794428986231,-2.0675162769019044,0.25777542059805636,0.79788660910152,3.069891974780185,-2.9485102040816327
D1,DE40,NZDUSD,36,0.0078098165798070026,10.091460974523702,0.010580985055926074,-2.1034674990024853,0.24312259068057768,0.793962730956771,3.0042948784804073,-2.9485102040816327
D1,DE40,OJ_F6,36,0.31295722533477516,9.882688687457675,0.03667060931424947,-1.9467779689612656,0.31038511581137834,0.7951594374648394,3.0240356648958775,-2.9485102040816327
D1,DE40,SA40,36,-0.6127083884263809,14.561888293766408,-0.3907803940054302,-2.8535758200836177,0.05101896623328998,0.6339122252124822,1.5205772024124184,-2.9485102040816327
